indexid,question_id,formula,status,inorder_term,sorted_term,structure_term,constant_term,variable_term
359,20020200110,\lg (2x) - \lg (x - 3) = 1,1,"[['\\$mfenced$-$\\', 'mfenced$-$\\$mfenced', '-$\\$mfenced$-', '\\$mfenced$-$='], ['\\$mfenced$-', 'mfenced$-$\\', '-$\\$mfenced', '\\$mfenced$-', 'mfenced$-$='], ['\\$mfenced', 'mfenced$-', '-$\\', '\\$mfenced', 'mfenced$-', '-$=']]","[['-$-$\\$\\', '-$\\$\\$=', '\\$\\$=$mfenced', '\\$=$mfenced$mfenced'], ['-$-$\\', '-$\\$\\', '\\$\\$=', '\\$=$mfenced', '=$mfenced$mfenced'], ['-$-', '-$\\', '\\$\\', '\\$=', '=$mfenced', 'mfenced$mfenced'], ['-', '-', '\\', '\\', '=', 'mfenced', 'mfenced']]",['mfenced$-'],"['mfenced$cn', 'cn']","['var', 'mfenced$var']"
360,20020200110,\log_3y+4\log_y3=4,1,"[['\\$log$+$\\', 'log$+$\\$msub', '+$\\$msub$log', '\\$msub$log$='], ['\\$log$+', 'log$+$\\', '+$\\$msub', '\\$msub$log', 'msub$log$='], ['\\$log', 'log$+', '+$\\', '\\$msub', 'msub$log', 'log$=']]","[['\\$\\$+$=', '\\$+$=$log', '+$=$log$log', '=$log$log$msub'], ['\\$\\$+', '\\$+$=', '+$=$log', '=$log$log', 'log$log$msub'], ['\\$\\', '\\$+', '+$=', '=$log', 'log$log', 'log$msub'], ['\\', '\\', '+', '=', 'log', 'log', 'msub']]","['msub$log', 'msub$log']","['msub$cn', 'cn']","['var', 'msub$var']"
361,20020300108,e^x(2e^x-1)=10,1,"[['msup$e$mfenced$msup', 'e$mfenced$msup$e', 'mfenced$msup$e$-', 'msup$e$-$='], ['msup$e$mfenced', 'e$mfenced$msup', 'mfenced$msup$e', 'msup$e$-', 'e$-$='], ['msup$e', 'e$mfenced', 'mfenced$msup', 'msup$e', 'e$-', '-$=']]","[['-$=$e$e', '=$e$e$mfenced', 'e$e$mfenced$msup', 'e$mfenced$msup$msup'], ['-$=$e', '=$e$e', 'e$e$mfenced', 'e$mfenced$msup', 'mfenced$msup$msup'], ['-$=', '=$e', 'e$e', 'e$mfenced', 'mfenced$msup', 'msup$msup'], ['-', '=', 'e', 'e', 'mfenced', 'msup', 'msup']]","['msup$e', 'mfenced$msup', 'mfenced$msup$e', 'mfenced$-']","['mfenced$cn', 'cn']","['mfenced$msup$var', 'msup$var']"
362,20020300108,\log_5(8y-6)-\log_5(y-5)=\log_4 16,1,"[['\\$log$mfenced$-', 'log$mfenced$-$-', 'mfenced$-$-$\\', '-$-$\\$log', '-$\\$log$mfenced', '\\$log$mfenced$-', 'log$mfenced$-$=', 'mfenced$-$=$\\', '-$=$\\$log'], ['\\$log$mfenced', 'log$mfenced$-', 'mfenced$-$-', '-$-$\\', '-$\\$log', '\\$log$mfenced', 'log$mfenced$-', 'mfenced$-$=', '-$=$\\', '=$\\$log'], ['\\$log', 'log$mfenced', 'mfenced$-', '-$-', '-$\\', '\\$log', 'log$mfenced', 'mfenced$-', '-$=', '=$\\', '\\$log']]","[['-$-$-$\\', '-$-$\\$\\', '-$\\$\\$\\', '\\$\\$\\$=', '\\$\\$=$log', '\\$=$log$log', '=$log$log$log', 'log$log$log$mfenced', 'log$log$mfenced$mfenced'], ['-$-$-', '-$-$\\', '-$\\$\\', '\\$\\$\\', '\\$\\$=', '\\$=$log', '=$log$log', 'log$log$log', 'log$log$mfenced', 'log$mfenced$mfenced'], ['-$-', '-$-', '-$\\', '\\$\\', '\\$\\', '\\$=', '=$log', 'log$log', 'log$log', 'log$mfenced', 'mfenced$mfenced'], ['-', '-', '-', '\\', '\\', '\\', '=', 'log', 'log', 'log', 'mfenced', 'mfenced']]","['msub$log', 'mfenced$-', 'msub$log', 'mfenced$-', 'msub$log']","['msub$cn', 'mfenced$cn', 'cn']",['mfenced$var']
363,20020400108,x^2e^{x-2}=1,1,"[['msup$msup$e$-', 'msup$e$-$='], ['msup$msup$e', 'msup$e$-', 'e$-$='], ['msup$msup', 'msup$e', 'e$-', '-$=']]","[['-$=$e$msup', '=$e$msup$msup'], ['-$=$e', '=$e$msup', 'e$msup$msup'], ['-$=', '=$e', 'e$msup', 'msup$msup'], ['-', '=', 'e', 'msup', 'msup']]","['msup$e', 'msup$mrow$-']","['msup$mrow$cn', 'msup$cn', 'cn']","['msup$mrow$var', 'msup$var']"
364,20030100109,\log_4 2+\log_9(2x+5)=\log_8 64,1,"[['\\$log$+$\\', 'log$+$\\$log', '+$\\$log$mfenced', '\\$log$mfenced$+', 'log$mfenced$+$=', 'mfenced$+$=$\\', '+$=$\\$log'], ['\\$log$+', 'log$+$\\', '+$\\$log', '\\$log$mfenced', 'log$mfenced$+', 'mfenced$+$=', '+$=$\\', '=$\\$log'], ['\\$log', 'log$+', '+$\\', '\\$log', 'log$mfenced', 'mfenced$+', '+$=', '=$\\', '\\$log']]","[['\\$\\$\\$+', '\\$\\$+$+', '\\$+$+$=', '+$+$=$log', '+$=$log$log', '=$log$log$log', 'log$log$log$mfenced'], ['\\$\\$\\', '\\$\\$+', '\\$+$+', '+$+$=', '+$=$log', '=$log$log', 'log$log$log', 'log$log$mfenced'], ['\\$\\', '\\$\\', '\\$+', '+$+', '+$=', '=$log', 'log$log', 'log$log', 'log$mfenced'], ['\\', '\\', '\\', '+', '+', '=', 'log', 'log', 'log', 'mfenced']]","['msub$log', 'msub$log', 'mfenced$+', 'msub$log']","['msub$cn', 'cn', 'mfenced$cn']",['mfenced$var']
365,20030100109,9^y+5(3^y-10)=0,1,"[['msup$+$mfenced$msup', '+$mfenced$msup$-', 'mfenced$msup$-$='], ['msup$+$mfenced', '+$mfenced$msup', 'mfenced$msup$-', 'msup$-$='], ['msup$+', '+$mfenced', 'mfenced$msup', 'msup$-', '-$=']]","[['-$+$=$mfenced', '+$=$mfenced$msup', '=$mfenced$msup$msup'], ['-$+$=', '+$=$mfenced', '=$mfenced$msup', 'mfenced$msup$msup'], ['-$+', '+$=', '=$mfenced', 'mfenced$msup', 'msup$msup'], ['-', '+', '=', 'mfenced', 'msup', 'msup']]","['mfenced$msup', 'mfenced$-']","['mfenced$cn', 'mfenced$msup$cn', 'msup$cn', 'cn']","['mfenced$msup$var', 'msup$var']"
366,20030400103,\log_2x-\log_4(x-4)=2,1,"[['\\$log$-$\\', 'log$-$\\$log', '-$\\$log$mfenced', '\\$log$mfenced$-', 'log$mfenced$-$='], ['\\$log$-', 'log$-$\\', '-$\\$log', '\\$log$mfenced', 'log$mfenced$-', 'mfenced$-$='], ['\\$log', 'log$-', '-$\\', '\\$log', 'log$mfenced', 'mfenced$-', '-$=']]","[['-$-$\\$\\', '-$\\$\\$=', '\\$\\$=$log', '\\$=$log$log', '=$log$log$mfenced'], ['-$-$\\', '-$\\$\\', '\\$\\$=', '\\$=$log', '=$log$log', 'log$log$mfenced'], ['-$-', '-$\\', '\\$\\', '\\$=', '=$log', 'log$log', 'log$mfenced'], ['-', '-', '\\', '\\', '=', 'log', 'log', 'mfenced']]","['msub$log', 'msub$log', 'mfenced$-']","['msub$cn', 'mfenced$cn', 'cn']","['var', 'mfenced$var']"
367,20030400111,v ms^{-1},1,"[[], [], ['msup$-']]","[[], [], ['-$msup'], ['-', 'msup']]",['msup$mrow$-'],['msup$mrow$cn'],"['var', 'msup$var']"
368,20030400111,R=kv^{\beta},1,"[[], ['=$msup$\\'], ['=$msup', 'msup$\\']]","[[], ['\\$=$msup'], ['\\$=', '=$msup'], ['\\', '=', 'msup']]",['msup$mrow$\\'],[],"['var', 'msup$mrow$var', 'msup$var']"
369,20030400111,\beta,1,"[[], [], []]","[[], [], [], ['\\']]",[],[],['var']
370,20030400111,\beta,1,"[[], [], []]","[[], [], [], ['\\']]",[],[],['var']
371,20040300112,20000e^{(-0.05n)},1,"[['msup$e$mfenced$-'], ['msup$e$mfenced', 'e$mfenced$-'], ['msup$e', 'e$mfenced', 'mfenced$-']]","[['-$e$mfenced$msup'], ['-$e$mfenced', 'e$mfenced$msup'], ['-$e', 'e$mfenced', 'mfenced$msup'], ['-', 'e', 'mfenced', 'msup']]","['msup$e', 'msup$mrow$mfenced', 'msup$mrow$mfenced$-']","['cn', 'msup$mrow$mfenced$cn']",['msup$mrow$mfenced$var']
372,20040300112,3^{(x+1)}-2=8 xx 3^{(x-1)},1,"[['msup$mfenced$+$-', 'mfenced$+$-$=', '+$-$=$#215;', '-$=$#215;$msup', '=$#215;$msup$mfenced', '#215;$msup$mfenced$-'], ['msup$mfenced$+', 'mfenced$+$-', '+$-$=', '-$=$#215;', '=$#215;$msup', '#215;$msup$mfenced', 'msup$mfenced$-'], ['msup$mfenced', 'mfenced$+', '+$-', '-$=', '=$#215;', '#215;$msup', 'msup$mfenced', 'mfenced$-']]","[['-$-$#215;$+', '-$#215;$+$=', '#215;$+$=$mfenced', '+$=$mfenced$mfenced', '=$mfenced$mfenced$msup', 'mfenced$mfenced$msup$msup'], ['-$-$#215;', '-$#215;$+', '#215;$+$=', '+$=$mfenced', '=$mfenced$mfenced', 'mfenced$mfenced$msup', 'mfenced$msup$msup'], ['-$-', '-$#215;', '#215;$+', '+$=', '=$mfenced', 'mfenced$mfenced', 'mfenced$msup', 'msup$msup'], ['-', '-', '#215;', '+', '=', 'mfenced', 'mfenced', 'msup', 'msup']]","['msup$mrow$mfenced', 'msup$mrow$mfenced$+', 'msup$mrow$mfenced', 'msup$mrow$mfenced$-']","['cn', 'msup$cn', 'msup$mrow$mfenced$cn']",['msup$mrow$mfenced$var']
373,20040400105,\log_16(3x-1)=\log_4(3x)+\log_4(0.5),1,"[['\\$log$mfenced$-', 'log$mfenced$-$=', 'mfenced$-$=$\\', '-$=$\\$log', '=$\\$log$mfenced', '\\$log$mfenced$+', 'log$mfenced$+$\\', 'mfenced$+$\\$log'], ['\\$log$mfenced', 'log$mfenced$-', 'mfenced$-$=', '-$=$\\', '=$\\$log', '\\$log$mfenced', 'log$mfenced$+', 'mfenced$+$\\', '+$\\$log'], ['\\$log', 'log$mfenced', 'mfenced$-', '-$=', '=$\\', '\\$log', 'log$mfenced', 'mfenced$+', '+$\\', '\\$log']]","[['-$\\$\\$\\', '\\$\\$\\$+', '\\$\\$+$=', '\\$+$=$log', '+$=$log$log', '=$log$log$log', 'log$log$log$mfenced', 'log$log$mfenced$mfenced'], ['-$\\$\\', '\\$\\$\\', '\\$\\$+', '\\$+$=', '+$=$log', '=$log$log', 'log$log$log', 'log$log$mfenced', 'log$mfenced$mfenced'], ['-$\\', '\\$\\', '\\$\\', '\\$+', '+$=', '=$log', 'log$log', 'log$log', 'log$mfenced', 'mfenced$mfenced'], ['-', '\\', '\\', '\\', '+', '=', 'log', 'log', 'log', 'mfenced', 'mfenced']]","['msub$log', 'mfenced$-', 'msub$log', 'msub$log']","['msub$cn', 'mfenced$cn']",['mfenced$var']
374,20050300107,\log_7(17y+15)=2+\log_7(2y-3),1,"[['\\$log$mfenced$+', 'log$mfenced$+$=', 'mfenced$+$=$+', '+$=$+$\\', '=$+$\\$log', '+$\\$log$mfenced', '\\$log$mfenced$-'], ['\\$log$mfenced', 'log$mfenced$+', 'mfenced$+$=', '+$=$+', '=$+$\\', '+$\\$log', '\\$log$mfenced', 'log$mfenced$-'], ['\\$log', 'log$mfenced', 'mfenced$+', '+$=', '=$+', '+$\\', '\\$log', 'log$mfenced', 'mfenced$-']]","[['-$\\$\\$+', '\\$\\$+$+', '\\$+$+$=', '+$+$=$log', '+$=$log$log', '=$log$log$mfenced', 'log$log$mfenced$mfenced'], ['-$\\$\\', '\\$\\$+', '\\$+$+', '+$+$=', '+$=$log', '=$log$log', 'log$log$mfenced', 'log$mfenced$mfenced'], ['-$\\', '\\$\\', '\\$+', '+$+', '+$=', '=$log', 'log$log', 'log$mfenced', 'mfenced$mfenced'], ['-', '\\', '\\', '+', '+', '=', 'log', 'log', 'mfenced', 'mfenced']]","['msub$log', 'mfenced$+', 'msub$log', 'mfenced$-']","['msub$cn', 'mfenced$cn', 'cn']",['mfenced$var']
375,20050300107,\log_p 8 \times \log_16 p,1,"[['\\$msub$log$\\', 'msub$log$\\$e', 'log$\\$e$\\', '\\$e$\\$log'], ['\\$msub$log', 'msub$log$\\', 'log$\\$e', '\\$e$\\', 'e$\\$log'], ['\\$msub', 'msub$log', 'log$\\', '\\$e', 'e$\\', '\\$log']]","[['\\$\\$\\$e', '\\$\\$e$log', '\\$e$log$log', 'e$log$log$msub'], ['\\$\\$\\', '\\$\\$e', '\\$e$log', 'e$log$log', 'log$log$msub'], ['\\$\\', '\\$\\', '\\$e', 'e$log', 'log$log', 'log$msub'], ['\\', '\\', '\\', 'e', 'log', 'log', 'msub']]","['msub$log', 'msub$log']","['msub$cn', 'cn']","['var', 'msub$var']"
376,20050400101,V=1000e^{kt},1,"[[], ['=$msup$e'], ['=$msup', 'msup$e']]","[[], ['=$e$msup'], ['=$e', 'e$msup'], ['=', 'e', 'msup']]",['msup$e'],['cn'],"['var', 'msup$mrow$var']"
377,20060300108,\log_2 p=a,1,"[[], ['\\$log$='], ['\\$log', 'log$=']]","[[], ['\\$=$log'], ['\\$=', '=$log'], ['\\', '=', 'log']]",['msub$log'],['msub$cn'],['var']
378,20060300108,\log_8 q=b,1,"[[], ['\\$log$='], ['\\$log', 'log$=']]","[[], ['\\$=$log'], ['\\$=', '=$log'], ['\\', '=', 'log']]",['msub$log'],['msub$cn'],['var']
379,20060300108,\frac{p}{q}=2^c,1,"[['\\$mfrac$mfenced$=', 'mfrac$mfenced$=$msup'], ['\\$mfrac$mfenced', 'mfrac$mfenced$=', 'mfenced$=$msup'], ['\\$mfrac', 'mfrac$mfenced', 'mfenced$=', '=$msup']]","[['\\$=$mfenced$mfrac', '=$mfenced$mfrac$msup'], ['\\$=$mfenced', '=$mfenced$mfrac', 'mfenced$mfrac$msup'], ['\\$=', '=$mfenced', 'mfenced$mfrac', 'mfrac$msup'], ['\\', '=', 'mfenced', 'mfrac', 'msup']]",['mfrac$mfenced'],['msup$cn'],"['mfrac$mrow$var', 'mfrac$mfenced$var', 'msup$var']"
380,20070300103,V=V_0e^{kt},1,"[['=$msub$msup$e'], ['=$msub$msup', 'msub$msup$e'], ['=$msub', 'msub$msup', 'msup$e']]","[['=$e$msub$msup'], ['=$e$msub', 'e$msub$msup'], ['=$e', 'e$msub', 'msub$msup'], ['=', 'e', 'msub', 'msup']]",['msup$e'],['msub$cn'],"['var', 'msup$mrow$var', 'msub$var']"
381,20070400107,\log_x 72=3-\log_x 3,1,"[['\\$msub$log$=', 'msub$log$=$-', 'log$=$-$\\', '=$-$\\$msub', '-$\\$msub$log'], ['\\$msub$log', 'msub$log$=', 'log$=$-', '=$-$\\', '-$\\$msub', '\\$msub$log'], ['\\$msub', 'msub$log', 'log$=', '=$-', '-$\\', '\\$msub', 'msub$log']]","[['-$\\$\\$=', '\\$\\$=$log', '\\$=$log$log', '=$log$log$msub', 'log$log$msub$msub'], ['-$\\$\\', '\\$\\$=', '\\$=$log', '=$log$log', 'log$log$msub', 'log$msub$msub'], ['-$\\', '\\$\\', '\\$=', '=$log', 'log$log', 'log$msub', 'msub$msub'], ['-', '\\', '\\', '=', 'log', 'log', 'msub', 'msub']]","['msub$log', 'msub$log']",['cn'],['msub$var']
382,20070400107,3 \log_5y-\log_25y=10,1,"[['\\$log$-$\\', 'log$-$\\$log', '-$\\$log$='], ['\\$log$-', 'log$-$\\', '-$\\$log', '\\$log$='], ['\\$log', 'log$-', '-$\\', '\\$log', 'log$=']]","[['-$\\$\\$=', '\\$\\$=$log', '\\$=$log$log'], ['-$\\$\\', '\\$\\$=', '\\$=$log', '=$log$log'], ['-$\\', '\\$\\', '\\$=', '=$log', 'log$log'], ['-', '\\', '\\', '=', 'log', 'log']]","['msub$log', 'msub$log']","['msub$cn', 'cn']",['var']
383,20080400101,$4000,1,"[[], [], []]","[[], [], [], ['$']]",[],['cn'],[]
384,20080400101,$1000,1,"[[], [], []]","[[], [], [], ['$']]",[],['cn'],[]
385,20080400101,V = 10000e^{-pt},1,"[['=$msup$e$-'], ['=$msup$e', 'msup$e$-'], ['=$msup', 'msup$e', 'e$-']]","[['-$=$e$msup'], ['-$=$e', '=$e$msup'], ['-$=', '=$e', 'e$msup'], ['-', '=', 'e', 'msup']]","['msup$e', 'msup$mrow$-']",['cn'],"['var', 'msup$mrow$var']"
386,20080400104,2 + \log_3(3x-7) = \log_3(2x-3),1,"[['+$\\$log$mfenced', '\\$log$mfenced$-', 'log$mfenced$-$=', 'mfenced$-$=$\\', '-$=$\\$log', '=$\\$log$mfenced', '\\$log$mfenced$-'], ['+$\\$log', '\\$log$mfenced', 'log$mfenced$-', 'mfenced$-$=', '-$=$\\', '=$\\$log', '\\$log$mfenced', 'log$mfenced$-'], ['+$\\', '\\$log', 'log$mfenced', 'mfenced$-', '-$=', '=$\\', '\\$log', 'log$mfenced', 'mfenced$-']]","[['-$-$\\$\\', '-$\\$\\$+', '\\$\\$+$=', '\\$+$=$log', '+$=$log$log', '=$log$log$mfenced', 'log$log$mfenced$mfenced'], ['-$-$\\', '-$\\$\\', '\\$\\$+', '\\$+$=', '+$=$log', '=$log$log', 'log$log$mfenced', 'log$mfenced$mfenced'], ['-$-', '-$\\', '\\$\\', '\\$+', '+$=', '=$log', 'log$log', 'log$mfenced', 'mfenced$mfenced'], ['-', '-', '\\', '\\', '+', '=', 'log', 'log', 'mfenced', 'mfenced']]","['msub$log', 'mfenced$-', 'msub$log', 'mfenced$-']","['msub$cn', 'cn', 'mfenced$cn']",['mfenced$var']
387,20080400104,3\log_5 y - \log_5 =2,1,"[['\\$log$-$\\', 'log$-$\\$log', '-$\\$log$='], ['\\$log$-', 'log$-$\\', '-$\\$log', '\\$log$='], ['\\$log', 'log$-', '-$\\', '\\$log', 'log$=']]","[['-$\\$\\$=', '\\$\\$=$log', '\\$=$log$log'], ['-$\\$\\', '\\$\\$=', '\\$=$log', '=$log$log'], ['-$\\', '\\$\\', '\\$=', '=$log', 'log$log'], ['-', '\\', '\\', '=', 'log', 'log']]","['msub$log', 'msub$log']","['msub$cn', 'cn']",['var']
388,20090300104,\lg (x + 14) - \lg (x -2) = 2 \lg 5,1,"[['\\$mfenced$+$-', 'mfenced$+$-$\\', '+$-$\\$mfenced', '-$\\$mfenced$-', '\\$mfenced$-$=', 'mfenced$-$=$\\'], ['\\$mfenced$+', 'mfenced$+$-', '+$-$\\', '-$\\$mfenced', '\\$mfenced$-', 'mfenced$-$=', '-$=$\\'], ['\\$mfenced', 'mfenced$+', '+$-', '-$\\', '\\$mfenced', 'mfenced$-', '-$=', '=$\\']]","[['-$-$\\$\\', '-$\\$\\$\\', '\\$\\$\\$+', '\\$\\$+$=', '\\$+$=$mfenced', '+$=$mfenced$mfenced'], ['-$-$\\', '-$\\$\\', '\\$\\$\\', '\\$\\$+', '\\$+$=', '+$=$mfenced', '=$mfenced$mfenced'], ['-$-', '-$\\', '\\$\\', '\\$\\', '\\$+', '+$=', '=$mfenced', 'mfenced$mfenced'], ['-', '-', '\\', '\\', '\\', '+', '=', 'mfenced', 'mfenced']]","['mfenced$+', 'mfenced$-']","['mfenced$cn', 'cn']","['var', 'mfenced$var']"
389,20090300104,\log_2y +\log_4 y =6,1,"[['\\$log$+$\\', 'log$+$\\$log', '+$\\$log$='], ['\\$log$+', 'log$+$\\', '+$\\$log', '\\$log$='], ['\\$log', 'log$+', '+$\\', '\\$log', 'log$=']]","[['\\$\\$+$=', '\\$+$=$log', '+$=$log$log'], ['\\$\\$+', '\\$+$=', '+$=$log', '=$log$log'], ['\\$\\', '\\$+', '+$=', '=$log', 'log$log'], ['\\', '\\', '+', '=', 'log', 'log']]","['msub$log', 'msub$log']","['msub$cn', 'cn']",['var']
390,20100400105,y=5-e^{2x},1,"[['=$-$msup$e'], ['=$-$msup', '-$msup$e'], ['=$-', '-$msup', 'msup$e']]","[['-$=$e$msup'], ['-$=$e', '=$e$msup'], ['-$=', '=$e', 'e$msup'], ['-', '=', 'e', 'msup']]",['msup$e'],"['msup$mrow$cn', 'cn']","['var', 'msup$mrow$var']"
391,20100400105,x=\ln \sqrt{9-x},1,"[['=$\\$ln$\\', '\\$ln$\\$msqrt', 'ln$\\$msqrt$-'], ['=$\\$ln', '\\$ln$\\', 'ln$\\$msqrt', '\\$msqrt$-'], ['=$\\', '\\$ln', 'ln$\\', '\\$msqrt', 'msqrt$-']]","[['-$\\$\\$=', '\\$\\$=$ln', '\\$=$ln$msqrt'], ['-$\\$\\', '\\$\\$=', '\\$=$ln', '=$ln$msqrt'], ['-$\\', '\\$\\', '\\$=', '=$ln', 'ln$msqrt'], ['-', '\\', '\\', '=', 'ln', 'msqrt']]",['msqrt$mrow$-'],['msqrt$mrow$cn'],"['var', 'msqrt$mrow$var']"
392,20100400105,y =5-e^{2x},1,"[['=$-$msup$e'], ['=$-$msup', '-$msup$e'], ['=$-', '-$msup', 'msup$e']]","[['-$=$e$msup'], ['-$=$e', '=$e$msup'], ['-$=', '=$e', 'e$msup'], ['-', '=', 'e', 'msup']]",['msup$e'],"['msup$mrow$cn', 'cn']","['var', 'msup$mrow$var']"
393,19950100119,y=\left | 5-3x \right |+2,1,"[['=$\\$e$mfenced', '\\$e$mfenced$-', 'e$mfenced$-$\\', 'mfenced$-$\\$+'], ['=$\\$e', '\\$e$mfenced', 'e$mfenced$-', 'mfenced$-$\\', '-$\\$+'], ['=$\\', '\\$e', 'e$mfenced', 'mfenced$-', '-$\\', '\\$+']]","[['-$\\$\\$+', '\\$\\$+$=', '\\$+$=$e', '+$=$e$mfenced'], ['-$\\$\\', '\\$\\$+', '\\$+$=', '+$=$e', '=$e$mfenced'], ['-$\\', '\\$\\', '\\$+', '+$=', '=$e', 'e$mfenced'], ['-', '\\', '\\', '+', '=', 'e', 'mfenced']]","['mfenced$-', 'mfenced$\\']","['mfenced$cn', 'cn']","['var', 'mfenced$var']"
394,19950100119,0\leqslant x\leqslant 4,1,"[['\\$e$\\$e'], ['\\$e$\\', 'e$\\$e'], ['\\$e', 'e$\\', '\\$e']]","[['\\$\\$e$e'], ['\\$\\$e', '\\$e$e'], ['\\$\\', '\\$e', 'e$e'], ['\\', '\\', 'e', 'e']]",[],['cn'],['var']
395,19950100119,y\leqslant 4,1,"[[], [], ['\\$e']]","[[], [], ['\\$e'], ['\\', 'e']]",[],['cn'],['var']
396,19950100119,y\leqslant 3,1,"[[], [], ['\\$e']]","[[], [], ['\\$e'], ['\\', 'e']]",[],['cn'],['var']
397,19950300110,y=2-|x-2|,1,"[['=$-$mfenced$-'], ['=$-$mfenced', '-$mfenced$-'], ['=$-', '-$mfenced', 'mfenced$-']]","[['-$-$=$mfenced'], ['-$-$=', '-$=$mfenced'], ['-$-', '-$=', '=$mfenced'], ['-', '-', '=', 'mfenced']]",['mfenced$-'],"['cn', 'mfenced$cn']","['var', 'mfenced$var']"
398,19950300110,y=\frac{1}{2}x+2,1,"[[], ['=$\\$+'], ['=$\\', '\\$+']]","[[], ['\\$+$='], ['\\$+', '+$='], ['\\', '+', '=']]",[],"['mfrac$mfenced$cn', 'cn', 'mfrac$mrow$cn']",['var']
399,19950300110,-1<=x<=5,1,"[[], ['-$#8804;$#8804;'], ['-$#8804;', '#8804;$#8804;']]","[[], ['-$#8804;$#8804;'], ['-$#8804;', '#8804;$#8804;'], ['-', '#8804;', '#8804;']]",[],['cn'],['var']
400,19980100117,-3\leq x\leq 3,1,"[['-$\\$e$\\', '\\$e$\\$e'], ['-$\\$e', '\\$e$\\', 'e$\\$e'], ['-$\\', '\\$e', 'e$\\', '\\$e']]","[['-$\\$\\$e', '\\$\\$e$e'], ['-$\\$\\', '\\$\\$e', '\\$e$e'], ['-$\\', '\\$\\', '\\$e', 'e$e'], ['-', '\\', '\\', 'e', 'e']]",[],['cn'],['var']
401,19980100117,\frac{(|x-2|)}{2}=x+|2x|,1,"[['\\$mfrac$mfenced$mfenced', 'mfrac$mfenced$mfenced$mfenced', 'mfenced$mfenced$mfenced$-', 'mfenced$mfenced$-$=', 'mfenced$-$=$+', '-$=$+$mfenced'], ['\\$mfrac$mfenced', 'mfrac$mfenced$mfenced', 'mfenced$mfenced$mfenced', 'mfenced$mfenced$-', 'mfenced$-$=', '-$=$+', '=$+$mfenced'], ['\\$mfrac', 'mfrac$mfenced', 'mfenced$mfenced', 'mfenced$mfenced', 'mfenced$-', '-$=', '=$+', '+$mfenced']]","[['-$\\$+$=', '\\$+$=$mfenced', '+$=$mfenced$mfenced', '=$mfenced$mfenced$mfenced', 'mfenced$mfenced$mfenced$mfenced', 'mfenced$mfenced$mfenced$mfrac'], ['-$\\$+', '\\$+$=', '+$=$mfenced', '=$mfenced$mfenced', 'mfenced$mfenced$mfenced', 'mfenced$mfenced$mfenced', 'mfenced$mfenced$mfrac'], ['-$\\', '\\$+', '+$=', '=$mfenced', 'mfenced$mfenced', 'mfenced$mfenced', 'mfenced$mfenced', 'mfenced$mfrac'], ['-', '\\', '+', '=', 'mfenced', 'mfenced', 'mfenced', 'mfenced', 'mfrac']]","['mfrac$mfenced', 'mfrac$mfenced$mfenced', 'mfrac$mfenced$mfenced$mfenced', 'mfrac$mfenced$mfenced$mfenced$-']","['mfrac$mfenced$mfenced$mfenced$cn', 'mfenced$cn', 'mfrac$mrow$cn']","['var', 'mfenced$var', 'mfrac$mfenced$mfenced$mfenced$var']"
402,19990100118,-1\leq x\leq -4,1,"[['-$\\$e$\\', '\\$e$\\$e', 'e$\\$e$-'], ['-$\\$e', '\\$e$\\', 'e$\\$e', '\\$e$-'], ['-$\\', '\\$e', 'e$\\', '\\$e', 'e$-']]","[['-$-$\\$\\', '-$\\$\\$e', '\\$\\$e$e'], ['-$-$\\', '-$\\$\\', '\\$\\$e', '\\$e$e'], ['-$-', '-$\\', '\\$\\', '\\$e', 'e$e'], ['-', '-', '\\', '\\', 'e', 'e']]",[],['cn'],['var']
403,19990100118,y =f^{-1}(x),1,"[['=$msup$-$mfenced'], ['=$msup$-', 'msup$-$mfenced'], ['=$msup', 'msup$-', '-$mfenced']]","[['-$=$mfenced$msup'], ['-$=$mfenced', '=$mfenced$msup'], ['-$=', '=$mfenced', 'mfenced$msup'], ['-', '=', 'mfenced', 'msup']]",['msup$mrow$-'],['msup$mrow$cn'],"['var', 'mfenced$var', 'msup$var']"
404,19990300118,(x-2)^2-2,1,"[['msup$mfenced$-$-'], ['msup$mfenced$-', 'mfenced$-$-'], ['msup$mfenced', 'mfenced$-', '-$-']]","[['-$-$mfenced$msup'], ['-$-$mfenced', '-$mfenced$msup'], ['-$-', '-$mfenced', 'mfenced$msup'], ['-', '-', 'mfenced', 'msup']]","['msup$mfenced', 'msup$mfenced$-']","['cn', 'msup$mfenced$cn', 'msup$cn']",['msup$mfenced$var']
405,19990300118,y=|(x-2)^2-2|,1,"[['=$mfenced$msup$mfenced', 'mfenced$msup$mfenced$-', 'msup$mfenced$-$-'], ['=$mfenced$msup', 'mfenced$msup$mfenced', 'msup$mfenced$-', 'mfenced$-$-'], ['=$mfenced', 'mfenced$msup', 'msup$mfenced', 'mfenced$-', '-$-']]","[['-$-$=$mfenced', '-$=$mfenced$mfenced', '=$mfenced$mfenced$msup'], ['-$-$=', '-$=$mfenced', '=$mfenced$mfenced', 'mfenced$mfenced$msup'], ['-$-', '-$=', '=$mfenced', 'mfenced$mfenced', 'mfenced$msup'], ['-', '-', '=', 'mfenced', 'mfenced', 'msup']]","['mfenced$msup', 'mfenced$msup$mfenced', 'mfenced$msup$mfenced$-', 'mfenced$-']","['mfenced$cn', 'mfenced$msup$mfenced$cn', 'mfenced$msup$cn']","['var', 'mfenced$msup$mfenced$var']"
